fecha,clave,tienda,nombre,precio,disponible,url
2026-08-17 03:27,Coleccion Ilustracion S3,UNSOBREMAS,COLECCIÓN ILUSTRACIÓN - PRIMER COMPAÑERO (SERIE 3) [ES],"32,95 €",False,https://unsobremas.com/products/coleccion-ilustracion-primer-companero-serie-3-es
2026-08-17 06:22,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"710,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-17 08:22,Poster,TodoHits,Premium Poster Collection Ascended Heroes | POKÉMON | Inglés,"143,00 €",False,https://todohits.com/products/premium-poster-collection-ascended-heroes-pokemon-ingles
2026-08-17 08:22,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"711,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-17 08:22,ETB,JJCOLLECTION,Pokémon TCG - Elite Trainer Box Ascended Heroes (Ingles & Español),"79,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-elite-trainer-box-ascended-heroes-ingles
2026-08-17 09:16,Poster,TodoHits,Premium Poster Collection Ascended Heroes | POKÉMON | Inglés,"142,00 €",False,https://todohits.com/products/premium-poster-collection-ascended-heroes-pokemon-ingles
2026-08-17 09:16,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"710,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-17 11:14,ETB,JJCOLLECTION,Pokémon TCG - Elite Trainer Box Ascended Heroes (Ingles & Español),"78,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-elite-trainer-box-ascended-heroes-ingles
2026-08-17 18:10,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"709,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-17 22:04,Poster (lucario),Flash Store,Heroes Ascendentes Premium Poster Collection Lucario,"86,90 €",True,https://flashstore.es/producto/heroes-ascendentes-premium-poster-collection-lucario/
2026-08-18 07:15,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"59,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-18 08:07,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"60,00 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-18 10:04,Coleccion Ilustracion S3,UNSOBREMAS,COLECCIÓN ILUSTRACIÓN - PRIMER COMPAÑERO (SERIE 3) [ES],"32,95 €",True,https://unsobremas.com/products/coleccion-ilustracion-primer-companero-serie-3-es
2026-08-18 12:04,Coleccion Ilustracion S3,TodoHits,[Reserva] First partner Series 3 Illustration Collection | POKÉMON | Español (Primer Compañero),"33,99 €",False,https://todohits.com/products/first-partner-series-3-illustration-collection-pokemon-espanol-primer-companero
2026-08-18 12:04,Coleccion Ilustracion S2,TodoHits,First partner Series 2 Illustration Collection | POKÉMON | Español (Primer Compañero),"34,99 €",False,https://todohits.com/products/first-partner-illustration-collection-series-2-pokemon-espanol-primer-companero
2026-08-18 12:04,Booster Bundle,TodoHits,Booster Bundle Heroes Ascendentes | POKÉMON | Español,"44,99 €",False,https://todohits.com/products/booster-bundle-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,Booster Bundle,TodoHits,Booster Bundle Ascended Heroes | POKÉMON | Inglés,"79,99 €",False,https://todohits.com/products/booster-bundle-heroes-ascendentes-pokemon-ingles
2026-08-18 12:04,Poster,TodoHits,Premium Poster Collection Ascended Heroes | POKÉMON | Inglés,"119,99 €",False,https://todohits.com/products/premium-poster-collection-ascended-heroes-pokemon-ingles
2026-08-18 12:04,Pin Collection,TodoHits,Deluxe Pin Collection Ascended Heroes | POKÉMON | Inglés,"49,99 €",False,https://todohits.com/products/deluxe-pin-collection-ascended-heroes-pokemon-ingles
2026-08-18 12:04,Coleccion Ilustracion S1,TodoHits,First partner Series 1 Illustration Collection | POKÉMON | Español (Primer Compañero),"37,99 €",False,https://todohits.com/products/reserva-first-partner-illustration-collection-series-1-pokemon-espanol
2026-08-18 12:04,Poster,TodoHits,Premium Poster Collection Heroes Ascendentes | POKÉMON | Español,"74,99 €",False,https://todohits.com/products/reserva-premium-poster-collection-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,Pin Collection,TodoHits,Deluxe Pin Collection Heroes Ascendentes | POKÉMON | Español,"37,99 €",False,https://todohits.com/products/pin-collection-deluxe-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,Mini Lata,TodoHits,Mini Lata Héroes Ascendentes | POKÉMON | Español,"16,99 €",False,https://todohits.com/products/mini-tin-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,Coleccion Pegatinas,TodoHits,Blister 2 Sobres Héroes Ascendentes | POKÉMON | Español,"16,99 €",False,https://todohits.com/products/blister-2-sobres-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,Coleccion Pegatinas,TodoHits,Tech Sticker 3 Sobres Ascended heroes | POKÉMON | Inglés,"27,99 €",False,https://todohits.com/products/tech-sticker-3-sobres-ascended-heroes-pokemon-ingles
2026-08-18 12:04,Coleccion Pegatinas,TodoHits,Blister 3 Sobres Héroes Ascendentes | POKÉMON | Español,"22,99 €",False,https://todohits.com/products/blister-3-sobres-heroes-ascendentes-pokemon-espanol
2026-08-18 12:04,ETB,TodoHits,ETB Heroes Ascendentes | Elite Trainer Box | POKÉMON | Español,"69,99 €",False,https://todohits.com/products/etb-heroes-ascendentes-elite-trainer-box-pokemon-espanol
2026-08-18 12:04,ETB,TodoHits,ETB Ascended Heroes | Elite Trainer Box | POKÉMON | Inglés,"84,99 €",False,https://todohits.com/products/etb-ascended-heroes-elite-trainer-box-pokemon-ingles
2026-08-18 12:04,Special Collection,TodoHits,30 aniversario Pokémon Day 2026 | POKÉMON | Español,"25,99 €",False,https://todohits.com/products/30-aniversario-pokemon-day-2026-pokemon-espanol
2026-08-18 12:04,Coleccion Ilustracion S2,JJCOLLECTION,Pokémon TCG - First Partners Illustration Collection - Series 2 - 30th Anniversary (Ingles & Español),"32,50 €",False,https://www.jjcollection.es/products/pokemon-tcg-first-partners-illustration-collection-series-2-30th-anniversary-ingles-espanol
2026-08-18 12:04,Coleccion Ilustracion S1,JJCOLLECTION,Pokémon TCG - First Partners Illustration Collection - Series 1 - 30th Anniversary (Ingles & Español),"32,50 €",False,https://www.jjcollection.es/products/pokemon-tcg-first-partners-illustration-collection-series-1-30th-anniversary-ingles-espanol
2026-08-18 12:04,Case x10,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"600,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-18 12:04,Coleccion Pegatinas,JJCOLLECTION,Pokémon TCG - Tech Sticker Collection Ascended Heroes (Español & ingles),"22,95 €",False,https://www.jjcollection.es/products/pokemon-tcg-tech-sticker-collection-ascended-heroes-espanol-ingles
2026-08-18 12:04,Coleccion Pegatinas,JJCOLLECTION,Pokémon TCG - Blister 2 Sobres Enhanced Héroes Ascendentes (Español),"14,20 €",False,https://www.jjcollection.es/products/pokemon-tcg-blister-2-sobres-enhanced-heroes-ascendentes
2026-08-18 12:04,Booster Bundle,JJCOLLECTION,Pokémon TCG - Booster bundle Ascended Heroes (Ingles & Español),"38,98 €",False,https://www.jjcollection.es/products/pokemon-tcg-booster-bundle-ascended-heroes-ingles-espanol
2026-08-18 12:04,ETB,JJCOLLECTION,Pokémon TCG - Elite Trainer Box Ascended Heroes (Ingles & Español),"65,95 €",False,https://www.jjcollection.es/products/pokemon-tcg-elite-trainer-box-ascended-heroes-ingles
2026-08-18 12:18,Coleccion Ilustracion S3,TodoHits,[Reserva] First partner Series 3 Illustration Collection | POKÉMON | Español (Primer Compañero),"41,00 €",False,https://todohits.com/products/first-partner-series-3-illustration-collection-pokemon-espanol-primer-companero
